fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,tmed,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2014-05-06,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",12,"0,3","6,4",00:10,"15,5","11,0",23:59,"20,0",15:50,84,99,Varias,66,00:00
2014-05-07,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",35,"1,9","8,3",12:40,"14,0","7,9",23:59,"20,2",12:20,78,99,Varias,63,16:10
2014-05-08,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",34,"1,1","9,4",16:30,"14,6","6,1",04:00,"23,2",15:20,77,99,Varias,52,15:00
2014-05-09,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",33,"1,9","9,2",14:50,"12,9","6,8",04:30,"19,0",12:30,82,99,Varias,71,12:10
2014-05-10,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",35,"1,4","9,4",15:20,"15,6","8,0",03:40,"23,1",13:20,74,99,Varias,53,13:00
2014-05-11,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",35,"2,2","9,7",14:50,"10,4","5,7",23:59,"15,2",14:00,79,99,Varias,60,15:50
2014-05-12,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,1",02,"1,9","10,0",19:10,"10,2","3,7",04:00,"16,7",11:40,75,99,Varias,60,14:30
2014-05-13,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",35,"2,8","10,8",09:50,"8,4","3,5",23:50,"13,2",14:00,70,99,Varias,58,13:10
2014-05-14,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",07,"2,5","10,8",16:50,"9,2","2,1",05:00,"16,4",15:10,66,99,Varias,53,14:00
2014-05-15,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",05,"1,7","13,1",18:40,"11,6","3,6",04:00,"19,6",11:00,56,99,Varias,39,10:40
2014-05-16,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,1",02,"2,5","12,8",17:30,"11,2","3,0",04:20,"19,3",13:30,54,99,Varias,36,13:00
2014-05-17,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",05,"2,2","11,7",13:50,"11,3","3,9",04:40,"18,7",12:50,65,99,Varias,44,14:00
2014-05-18,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",23,"1,9","9,7",15:20,"13,6","4,5",04:50,"22,6",15:00,61,99,Varias,42,Varias
2014-05-19,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",16,"3,3","13,6",12:30,"16,6","12,4",22:30,"20,7",14:50,55,91,22:30,47,00:00
2014-05-20,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"16,5",15,"1,7","10,3",00:50,"15,4","13,4",21:20,"17,4",12:10,71,99,23:50,64,16:50
2014-05-21,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"12,9",22,"5,3","17,8",07:40,"14,8","10,6",23:50,"19,0",16:00,69,99,Varias,45,18:00
2014-05-22,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,3",24,"2,2","14,7",10:50,"11,8","8,6",05:30,"15,1",17:00,81,99,13:30,70,17:00
2014-05-23,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"9,7",31,"1,9","11,4",13:30,"10,4","5,9",09:10,"14,8",17:10,77,99,Varias,64,13:20
