fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,sol
2021-03-10,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,8","0,0","6,8",06:21,"20,8",16:03,99,"1,1","4,7",Varias,"1023,0",Varias,"1017,3",01,61,100,Varias,17,17:50,"11,2"
2021-03-11,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,8","0,0","7,1",06:30,"22,5",16:55,99,"1,9","7,2",Varias,"1025,2",Varias,"1021,0",17,65,100,Varias,19,16:00,"11,2"
2021-03-12,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,0","0,0","8,5",06:50,"21,6",15:40,35,"2,5","9,7",17:09,"1022,7",10,"1017,8",16,67,100,Varias,40,15:40,"9,3"
2021-03-13,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,4","0,0","5,1",04:34,"21,7",16:37,99,"2,2","5,8",18:37,"1021,2",Varias,"1018,0",17,61,93,Varias,36,16:30,"11,3"
2021-03-14,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,0","0,0","6,4",05:11,"21,6",16:04,04,"3,9","11,4",12:34,"1022,2",Varias,"1018,3",17,51,87,05:13,29,13:13,"11,5"
2021-03-15,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,0","0,0","8,8",04:13,"23,3",15:02,07,"3,3","9,7",09:35,"1019,5",00,"1016,2",16,46,80,Varias,30,16:19,"11,2"
2021-03-16,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,4","0,0","7,3",06:15,"23,5",14:35,99,"2,8","10,8",Varias,"1019,1",Varias,"1015,6",17,54,88,06:16,30,13:52,"11,5"
2021-03-17,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,8","0,0","10,4",01:55,"23,2",15:27,07,"5,0","10,8",09:40,"1018,1",00,"1012,6",19,50,87,Varias,24,15:29,"11,5"
2021-03-18,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,7","0,0","7,9",06:00,"21,5",14:59,05,"5,8","13,9",09:44,"1013,6",00,"1008,8",16,42,82,Varias,22,15:00,"11,7"
2021-03-19,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,2","1,9","6,0",02:46,"18,3",16:23,03,"4,2","12,5",14:07,"1012,2",Varias,"1007,8",24,41,78,23:58,29,14:14,"10,2"
2021-03-20,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,9","0,0","6,3",23:53,"17,5",15:07,07,"5,3","14,4",Varias,"1016,1",Varias,"1007,7",00,45,87,Varias,26,15:08,"10,2"
2021-03-21,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,0","0,0","1,6",06:10,"18,5",16:30,99,"1,4","6,7",Varias,"1019,7",Varias,"1015,4",16,48,89,05:30,24,13:28,"11,8"
2021-03-22,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,5","0,0","3,6",05:45,"21,4",15:22,22,"2,2","9,7",18:17,"1017,2",Varias,"1013,9",16,49,93,04:47,21,14:50,"11,8"
2021-03-23,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,0","0,0","5,5",06:32,"22,5",15:43,21,"3,6","10,3",17:10,"1020,8",Varias,"1017,0",00,61,94,Varias,35,15:25,"11,8"
2021-03-24,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,2","0,0","9,2",03:18,"23,1",16:12,22,"3,1","8,9",18:15,"1023,4",Varias,"1019,8",17,66,99,Varias,33,16:52,"8,3"
2021-03-25,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,6","0,0","9,2",02:31,"22,0",16:16,99,"2,8","6,7",Varias,"1022,2",Varias,"1018,1",18,66,100,Varias,37,15:26,"7,6"
2021-03-26,5783,SEVILLA AEROPUERTO,SEVILLA,34,,"0,0",,,,,,,,,,,,,,,,,,"8,6"
2021-03-27,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,2","0,0","10,0",06:15,"26,4",16:57,99,"3,3","8,9",Varias,"1019,3",Varias,"1015,1",16,46,79,Varias,23,15:47,"9,8"
2021-03-28,5783,SEVILLA AEROPUERTO,SEVILLA,34,"19,3","0,0","12,3",01:37,"26,3",16:04,07,"3,6","9,2",Varias,"1020,0",Varias,"1016,6",18,50,75,01:31,32,15:01,"10,3"
2021-03-29,5783,SEVILLA AEROPUERTO,SEVILLA,34,"20,8","0,0","15,0",06:13,"26,7",15:25,99,"3,1","11,7",Varias,"1020,0",Varias,"1015,0",19,48,71,08:21,31,15:21,"7,8"
2021-03-30,5783,SEVILLA AEROPUERTO,SEVILLA,34,"20,8","0,0","15,2",06:10,"26,3",12:57,11,"4,7","13,3",14:21,"1019,7",00,"1012,6",18,47,79,Varias,27,14:23,"1,2"
2021-03-31,5783,SEVILLA AEROPUERTO,SEVILLA,34,"23,0","0,0","15,8",05:43,"30,2",14:25,08,"6,1","13,9",Varias,"1013,1",01,"1005,9",17,28,54,Varias,18,13:22,"8,9"
2021-04-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,4","0,0","13,8",05:47,"22,9",13:12,21,"6,7","12,8",15:07,"1014,8",Varias,"1007,4",04,63,94,Varias,42,00:08,"7,0"
2021-04-02,5783,SEVILLA AEROPUERTO,SEVILLA,34,"17,8","0,0","12,6",23:09,"22,9",15:18,99,"3,9","8,9",Varias,"1015,5",Varias,"1012,3",18,60,95,Varias,38,15:59,"9,1"
2021-04-03,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,7","4,9","9,9",06:01,"23,5",15:33,27,"1,9","10,8",19:46,"1012,9",00,"1007,8",15,69,97,Varias,37,14:09,"6,7"
2021-04-04,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,2","0,0","11,7",04:15,"24,7",16:31,99,"1,9","8,3",Varias,"1013,5",Varias,"1009,1",03,66,98,05:36,38,16:16,"9,4"
2021-04-05,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,8","0,0","12,0",05:12,"25,6",16:42,27,"1,4","6,7",19:31,"1015,1",Varias,"1011,2",17,67,98,Varias,39,16:37,"10,2"
2021-04-06,5783,SEVILLA AEROPUERTO,SEVILLA,34,"19,2","0,0","11,1",06:09,"27,2",15:07,99,"1,4","6,1",Varias,"1012,5",00,"1006,5",18,55,96,06:31,19,16:41,"10,5"
2021-04-07,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,6","0,0","11,2",06:35,"26,0",14:22,22,"3,6","12,8",Varias,"1015,7",Varias,"1007,5",01,64,93,07:12,42,15:10,"11,2"
2021-04-08,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,4","0,0","13,4",06:21,"23,5",Varias,99,"2,2","10,3",Varias,"1016,6",Varias,"1012,4",15,55,85,Varias,38,13:58,"5,1"
2021-04-09,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,4","0,0","13,4",02:14,"23,3",15:00,22,"2,5","8,3",21:08,"1014,7",00,"1009,6",18,55,83,Varias,40,17:29,"8,5"
2021-04-10,5783,SEVILLA AEROPUERTO,SEVILLA,34,"19,0","3,9","14,4",Varias,"23,5",14:27,23,"3,9","12,8",15:44,"1011,8",00,"1007,8",16,68,89,Varias,41,15:51,"7,5"
2021-04-11,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,6","0,0","13,7",23:57,"23,6",15:07,27,"4,2","10,3",12:35,"1015,9",Varias,"1010,1",03,67,96,Varias,46,14:49,"6,6"
2021-04-12,5783,SEVILLA AEROPUERTO,SEVILLA,34,"19,2","0,0","13,0",02:30,"25,3",14:30,22,"2,5","8,9",18:52,"1018,1",Varias,"1015,1",16,62,98,Varias,36,14:34,"8,5"
2021-04-13,5783,SEVILLA AEROPUERTO,SEVILLA,34,"19,2","0,0","12,0",05:50,"26,3",15:50,26,"1,9","9,2",19:20,"1017,9",01,"1012,5",Varias,55,94,04:00,36,16:00,"11,7"
2021-04-14,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,0","0,0","14,1",06:13,"22,0",12:35,18,"3,1","7,8",12:44,"1013,9",00,"1009,1",17,62,86,Varias,44,12:18,"2,2"
2021-04-15,5783,SEVILLA AEROPUERTO,SEVILLA,34,"17,7","2,4","13,9",04:30,"21,5",13:16,02,"1,9","6,7",15:44,"1011,4",Varias,"1008,5",16,74,97,23:19,54,13:34,"2,2"
2021-04-16,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,2","0,0","13,0",05:18,"23,4",16:19,26,"3,3","8,9",20:18,"1013,4",Varias,"1010,3",17,74,97,Varias,45,15:44,"7,8"
2021-04-17,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,9","0,1","12,7",23:59,"25,1",15:41,99,"3,3","10,3",17:04,"1015,1",Varias,"1011,7",16,63,95,Varias,26,13:05,"9,5"
2021-04-18,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,0","0,0","10,0",05:37,"25,9",16:40,34,"1,7","7,2",14:53,"1017,1",Varias,"1014,5",02,41,100,Varias,17,13:11,"12,6"
2021-04-19,5783,SEVILLA AEROPUERTO,SEVILLA,34,"19,0","0,0","11,9",Varias,"26,2",14:10,25,"3,6","10,3",15:40,"1016,2",09,"1011,9",16,54,81,06:00,36,16:10,"8,7"
2021-04-20,5783,SEVILLA AEROPUERTO,SEVILLA,34,"17,4","0,0","10,3",05:11,"24,5",13:29,30,"1,9","9,7",15:33,"1013,4",00,"1008,8",17,55,96,Varias,34,Varias,"10,2"
2021-04-21,5783,SEVILLA AEROPUERTO,SEVILLA,34,"17,0","0,7","10,4",04:31,"23,5",14:10,99,"4,4","11,7",Varias,"1011,1",Varias,"1007,8",16,60,90,Varias,36,14:23,"7,1"
2021-04-22,5783,SEVILLA AEROPUERTO,SEVILLA,34,"20,2","0,0","15,0",23:55,"25,5",15:35,99,"2,8","9,7",Varias,"1011,7",Varias,"1008,5",05,60,95,Varias,31,15:21,"8,2"
2021-04-23,5783,SEVILLA AEROPUERTO,SEVILLA,34,"20,0","0,0","12,9",02:45,"27,1",14:15,99,"3,9","8,9",Varias,"1011,4",00,"1007,7",17,53,94,03:11,34,15:10,"7,9"
2021-04-24,5783,SEVILLA AEROPUERTO,SEVILLA,34,"17,3",Ip,"10,4",04:10,"24,2",11:38,99,"2,8","8,9",Varias,"1009,3",Varias,"1006,7",16,58,91,05:42,38,12:38,"7,2"
2021-04-25,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,2","1,7","13,1",04:00,"23,2",15:20,22,"2,5","7,8",17:40,"1007,0",00,"1003,5",16,69,93,Varias,51,14:50,"2,1"
2021-04-26,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,2","13,9","13,6",00:08,"22,8",13:29,20,"4,2","15,3",13:46,"1005,7",00,"1001,9",15,72,98,00:26,50,13:26,"2,6"
2021-04-27,5783,SEVILLA AEROPUERTO,SEVILLA,34,"18,6","5,3","15,2",Varias,"22,1",11:59,31,"2,5","10,8",13:14,"1005,1",Varias,"1001,4",03,84,97,Varias,57,12:03,"4,7"
2021-04-28,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,9","0,0","11,7",05:23,"22,1",12:47,99,"5,3","11,7",Varias,"1006,9",Varias,"1003,7",04,69,98,Varias,46,12:48,"7,5"
2021-04-29,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,4","0,0","11,5",05:40,"21,2",14:53,26,"3,9","11,7",13:04,"1008,4",Varias,"1005,9",18,55,93,Varias,37,14:32,"8,1"
