fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2020-04-03,3195,"MADRID, RETIRO",MADRID,667,"11,4","0,0","5,0",06:15,"17,7",14:30,20,"1,1","7,2",14:00,"940,3",10,"937,4",04,38,77,06:00,23,18:00
2020-04-04,3195,"MADRID, RETIRO",MADRID,667,"12,2","0,0","5,8",04:40,"18,5",13:40,14,"3,6","11,4",13:10,"939,8",10,"937,2",16,43,62,04:50,31,Varias
2020-04-05,3195,"MADRID, RETIRO",MADRID,667,"14,2","0,8","8,9",06:10,"19,4",14:00,16,"1,7","7,2",01:30,"940,4",09,"937,4",18,53,73,06:10,40,Varias
2020-04-06,3195,"MADRID, RETIRO",MADRID,667,"14,8","7,2","11,6",07:00,"17,9",14:20,24,"1,9","7,5",15:00,"944,7",24,"939,2",Varias,57,86,Varias,42,14:30
2020-04-07,3195,"MADRID, RETIRO",MADRID,667,"14,0","6,7","10,6",03:50,"17,3",13:00,21,"1,1","6,1",13:50,"946,3",23,"943,7",03,72,88,Varias,51,13:10
2020-04-08,3195,"MADRID, RETIRO",MADRID,667,"16,1","0,0","10,6",06:30,"21,6",13:45,26,"1,1","6,1",16:10,"947,0",00,"942,1",16,54,95,00:00,32,17:10
2020-04-09,3195,"MADRID, RETIRO",MADRID,667,"13,1","14,2","11,0",23:40,"15,2",15:40,18,"1,4","6,4",21:20,"943,8",Varias,"941,4",16,62,85,23:30,42,10:50
2020-04-10,3195,"MADRID, RETIRO",MADRID,667,"11,9","2,7","10,0",06:40,"13,8",15:00,16,"1,1","6,7",20:50,"944,5",21,"942,0",04,82,87,Varias,70,23:30
2020-04-11,3195,"MADRID, RETIRO",MADRID,667,"14,8","0,2","11,2",04:40,"18,3",16:40,13,"1,4","5,8",22:50,"943,6",10,"940,4",18,56,77,Varias,40,17:00
2020-04-12,3195,"MADRID, RETIRO",MADRID,667,"15,0","2,4","10,0",04:00,"20,0",14:05,16,"1,1","8,3",22:50,"942,0",00,"932,7",24,38,67,03:50,29,Varias
2020-04-13,3195,"MADRID, RETIRO",MADRID,667,"12,9","1,1","7,6",08:40,"18,2",15:40,17,"1,1","6,7",00:00,"933,9",24,"930,6",18,54,82,Varias,35,00:00
2020-04-14,3195,"MADRID, RETIRO",MADRID,667,"13,9","3,0","11,0",06:10,"16,8",14:50,13,"1,4","9,7",15:30,"936,2",10,"932,6",15,64,74,19:40,52,15:30
2020-04-15,3195,"MADRID, RETIRO",MADRID,667,"11,8","18,1","8,4",08:50,"15,3",14:20,15,"3,1","15,0",13:30,"938,9",23,"932,8",05,71,87,08:40,55,14:40
2020-04-16,3195,"MADRID, RETIRO",MADRID,667,"14,2","3,5","9,8",05:10,"18,7",12:50,15,"2,8","12,5",13:20,"938,8",Varias,"934,6",14,71,87,Varias,45,12:40
2020-04-17,3195,"MADRID, RETIRO",MADRID,667,"14,2","0,0","10,5",05:10,"17,8",14:40,23,"1,9","8,6",14:00,"938,2",22,"936,8",18,58,85,05:30,40,14:30
2020-04-18,3195,"MADRID, RETIRO",MADRID,667,"15,4","3,3","10,4",06:15,"20,5",16:30,10,"1,1","6,4",22:40,"939,3",00,"933,4",20,51,81,02:10,36,16:30
2020-04-19,3195,"MADRID, RETIRO",MADRID,667,"13,6","5,2","9,2",23:59,"18,1",14:50,33,"1,4","8,6",16:00,"935,0",00,"931,6",16,72,95,07:00,44,15:40
2020-04-20,3195,"MADRID, RETIRO",MADRID,667,"13,1","0,4","7,6",05:20,"18,6",13:10,25,"1,9","10,8",16:10,"933,6",Varias,"929,9",19,59,88,06:10,40,13:10
2020-04-21,3195,"MADRID, RETIRO",MADRID,667,"11,4","0,1","7,8",06:10,"14,9",16:50,26,"1,4","8,3",02:30,"933,9",24,"928,7",05,63,82,05:30,48,Varias
2020-04-22,3195,"MADRID, RETIRO",MADRID,667,"14,4","0,0","9,1",05:30,"19,6",13:30,06,"1,1","6,1",21:20,"939,9",23,"933,7",01,51,78,06:40,36,13:40
2020-04-23,3195,"MADRID, RETIRO",MADRID,667,"16,2","0,0","12,4",06:15,"20,0",13:30,11,"1,4","5,3",15:00,"942,3",10,"938,6",18,53,76,05:40,44,Varias
2020-04-24,3195,"MADRID, RETIRO",MADRID,667,"16,6","0,0","11,2",05:40,"22,1",15:10,18,"1,7","6,9",15:10,"939,8",00,"933,7",18,53,81,06:00,33,15:40
2020-04-25,3195,"MADRID, RETIRO",MADRID,667,"17,3","0,0","11,6",03:50,"23,0",14:00,32,"1,7","8,3",15:00,"934,6",00,"931,0",15,48,70,Varias,36,14:30
2020-04-26,3195,"MADRID, RETIRO",MADRID,667,"16,5","0,0","12,2",05:20,"20,8",13:40,24,"2,2","10,0",14:10,"935,4",Varias,"932,3",17,55,83,06:00,35,14:30
2020-04-27,3195,"MADRID, RETIRO",MADRID,667,"13,7","0,0","10,1",06:45,"17,3",11:20,19,"2,8","10,3",15:30,"936,1",23,"933,1",16,54,79,07:00,40,18:00
2020-04-28,3195,"MADRID, RETIRO",MADRID,667,"12,6","0,0","7,7",05:40,"17,6",12:40,26,"2,8","10,0",18:20,"941,3",24,"935,3",02,56,86,06:10,38,Varias
2020-04-29,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","7,1",04:50,"19,7",13:30,25,"3,1","13,6",14:20,"942,2",10,"939,5",16,54,85,05:50,32,13:50
2020-04-30,3195,"MADRID, RETIRO",MADRID,667,"15,0","0,0","10,4",06:00,"19,6",13:50,25,"3,9","12,5",00:20,"943,0",22,"938,9",03,55,77,Varias,41,13:00
2020-05-01,3195,"MADRID, RETIRO",MADRID,667,"16,4","0,0","10,9",04:30,"21,9",14:50,25,"2,8","10,3",00:30,"944,1",24,"941,0",04,61,83,05:00,46,Varias
2020-05-02,3195,"MADRID, RETIRO",MADRID,667,"19,0","0,0","12,0",05:40,"25,9",15:30,25,"1,9","9,2",15:50,"944,5",Varias,"941,0",19,51,87,06:00,30,15:00
2020-05-03,3195,"MADRID, RETIRO",MADRID,667,"20,6","0,0","12,4",05:40,"28,8",14:45,22,"1,1","6,1",12:50,"943,4",09,"937,4",24,43,78,Varias,26,17:00
2020-05-04,3195,"MADRID, RETIRO",MADRID,667,"23,3","0,0","16,6",05:00,"30,0",16:00,22,"2,8","13,9",15:20,"938,9",00,"934,7",16,41,55,05:30,26,15:30
2020-05-05,3195,"MADRID, RETIRO",MADRID,667,"18,3","0,0","12,9",23:59,"23,7",15:40,26,"2,2","9,7",16:20,"940,7",24,"938,9",Varias,35,65,05:50,20,18:00
2020-05-06,3195,"MADRID, RETIRO",MADRID,667,"17,8","0,0","10,1",05:20,"25,6",14:00,99,"0,6","7,2",Varias,"941,7",11,"938,6",19,35,60,06:20,22,15:20
2020-05-07,3195,"MADRID, RETIRO",MADRID,667,"20,4","0,0","14,8",04:50,"26,1",14:00,12,"3,3","10,8",21:20,"940,4",00,"937,7",17,39,48,Varias,34,17:40
