fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,horatmax
2022-04-01,1393,CABO VILÁN,A CORUÑA,50,"10,0","0,0","8,1",03:30,"11,9",30,"11,4","20,0",06:50,49,61,00:00,41,03:20,11:20
2022-04-02,1393,CABO VILÁN,A CORUÑA,50,"8,5","0,0","5,3",06:10,"11,7",04,"10,0","18,9",19:40,55,67,03:30,44,10:50,11:50
2022-04-03,1393,CABO VILÁN,A CORUÑA,50,"9,1","0,2","6,6",06:10,"11,6",03,"10,6","23,9",21:40,59,69,03:10,49,19:40,13:00
2022-04-04,1393,CABO VILÁN,A CORUÑA,50,"8,4","0,0","5,5",03:00,"11,2",04,"12,2","23,6",16:00,55,60,Varias,49,11:20,11:20
2022-04-05,1393,CABO VILÁN,A CORUÑA,50,"9,2","0,1","6,5",05:30,"12,0",04,"11,9","19,2",16:20,65,79,Varias,54,10:30,12:30
2022-04-06,1393,CABO VILÁN,A CORUÑA,50,"12,6","0,1","9,4",03:10,"15,9",99,"4,7","11,7",Varias,77,89,Varias,59,14:10,14:50
2022-04-07,1393,CABO VILÁN,A CORUÑA,50,"12,4","17,5","11,7",00:10,"13,0",20,"13,3","20,8",13:10,87,93,Varias,81,01:40,10:40
2022-04-08,1393,CABO VILÁN,A CORUÑA,50,"13,7","3,1","11,1",23:59,"16,3",20,"7,5","22,8",01:30,84,93,Varias,74,15:00,15:00
2022-04-09,1393,CABO VILÁN,A CORUÑA,50,"12,8","0,0","9,2",06:20,"16,3",20,"1,9","12,2",23:20,73,89,Varias,61,Varias,14:20
2022-04-10,1393,CABO VILÁN,A CORUÑA,50,"14,8","5,7","11,4",21:00,"18,2",20,"8,1","17,2",19:50,70,86,Varias,60,13:30,14:10
2022-04-11,1393,CABO VILÁN,A CORUÑA,50,"13,2","9,3","11,1",15:00,"15,2",24,"7,8","17,5",10:50,82,89,Varias,68,10:40,10:30
2022-04-12,1393,CABO VILÁN,A CORUÑA,50,"13,6","0,8","11,2",03:10,"16,0",25,"7,8","14,7",03:10,82,89,Varias,74,13:50,13:50
2022-04-13,1393,CABO VILÁN,A CORUÑA,50,"14,0","0,3","11,4",06:00,"16,5",25,"3,3","9,2",02:00,82,90,Varias,71,15:50,13:30
2022-04-14,1393,CABO VILÁN,A CORUÑA,50,"13,0","0,0","8,8",06:00,"17,3",99,"2,5","5,6",Varias,68,82,Varias,57,Varias,13:20
2022-04-15,1393,CABO VILÁN,A CORUÑA,50,"13,0","0,0","10,0",03:50,"16,0",03,"5,3","10,0",11:20,76,88,Varias,68,11:30,14:50
2022-04-16,1393,CABO VILÁN,A CORUÑA,50,"14,1","0,0","11,6",22:00,"16,6",02,"4,4","10,8",22:30,79,88,Varias,69,12:10,12:00
2022-04-17,1393,CABO VILÁN,A CORUÑA,50,"13,6","0,0","11,5",02:00,"15,8",03,"5,0","11,9",07:30,79,91,Varias,67,11:50,12:00
2022-04-18,1393,CABO VILÁN,A CORUÑA,50,"13,0","0,2","10,5",20:40,"15,4",02,"6,9","14,7",20:30,66,87,Varias,56,14:40,12:20
2022-04-19,1393,CABO VILÁN,A CORUÑA,50,"11,6","2,7","8,9",22:30,"14,4",20,"5,8","16,9",13:40,70,84,11:50,54,10:10,10:10
2022-04-20,1393,CABO VILÁN,A CORUÑA,50,"11,6","0,3","8,6",01:10,"14,6",02,"5,3","17,8",01:10,62,79,01:00,54,15:50,13:20
2022-04-21,1393,CABO VILÁN,A CORUÑA,50,"11,8","7,6","8,8",Varias,"14,7",20,"6,4","14,2",12:10,80,89,23:50,61,11:40,11:30
2022-04-22,1393,CABO VILÁN,A CORUÑA,50,"10,8","0,3","7,2",04:00,"14,3",24,"5,0","12,5",01:10,69,89,00:00,52,16:20,16:50
2022-04-23,1393,CABO VILÁN,A CORUÑA,50,"12,6","0,0","8,7",02:40,"16,5",24,"6,1","10,6",16:00,65,84,23:30,56,13:20,14:50
2022-04-24,1393,CABO VILÁN,A CORUÑA,50,"13,9","0,1","10,6",04:50,"17,2",99,"5,8","10,0",Varias,76,89,Varias,64,12:30,13:20
2022-04-25,1393,CABO VILÁN,A CORUÑA,50,"15,2","5,5","10,7",05:10,"19,7",25,"5,3","11,7",14:30,56,83,Varias,42,12:50,13:00
2022-04-26,1393,CABO VILÁN,A CORUÑA,50,"14,7","0,4","11,3",03:00,"18,1",20,"5,6","11,4",11:10,73,87,Varias,64,00:00,13:00
2022-04-27,1393,CABO VILÁN,A CORUÑA,50,"14,5","0,0","11,0",23:50,"18,0",22,"4,2","9,7",10:50,78,88,Varias,69,16:20,13:10
2022-04-28,1393,CABO VILÁN,A CORUÑA,50,"12,9","0,0","9,8",05:50,"16,0",04,"8,3","14,2",21:00,77,89,Varias,67,14:00,12:00
2022-04-29,1393,CABO VILÁN,A CORUÑA,50,"14,3","0,0","11,5",05:50,"17,1",03,"6,4","13,9",01:30,76,89,Varias,69,10:40,13:50
2022-04-30,1393,CABO VILÁN,A CORUÑA,50,"14,8","0,0","11,5",03:30,"18,2",02,"3,1","9,2",18:50,75,90,20:50,67,12:10,13:00
2022-05-01,1393,CABO VILÁN,A CORUÑA,50,"14,8","0,0","11,9",05:40,"17,7",03,"3,9","8,1",06:30,67,86,Varias,56,12:30,12:30
2022-05-02,1393,CABO VILÁN,A CORUÑA,50,"13,6","1,0","11,6",05:00,"15,6",04,"7,8","16,7",22:20,74,86,Varias,57,11:30,11:20
2022-05-03,1393,CABO VILÁN,A CORUÑA,50,"13,2","0,0","11,7",06:00,"14,7",02,"7,2","18,6",16:30,76,88,01:40,70,14:30,13:00
2022-05-04,1393,CABO VILÁN,A CORUÑA,50,"13,6","0,0","12,0",05:00,"15,1",02,"9,7","17,2",Varias,73,81,02:40,63,12:10,14:00
2022-05-05,1393,CABO VILÁN,A CORUÑA,50,"13,6","0,0","11,9",05:00,"15,3",02,"10,3","16,7",17:00,76,85,Varias,74,Varias,12:50
